Código SNISB,Nome da Barragem,Capacidade (hm3),Classe de Capacidade,Altura Acima da Fundação (m),Classe de Altura,Altura Acima do Terreno (m),Município,UF,Uso Principal,Espelho D'água,Fiscalizador,Latitude,Longitude,Categoria de Risco,Classe de DPA,Latitude (Graus),Longitude (Graus),ESRI_OID,x,y
1641,Farinha,25.738,3 hm³ < V < 75 hm³,12,10 m < h < 15 m,12,PATOS,PB,Abastecimento humano,,AESA/PB,"07º04'40.0""S","37º14'47.0""W",Não Classificado,Não Classificado,-7.077861111100001,-37.246444444400005,974,-37.24644444399996,-7.077861110999947
2979,ATS 46 - GREGÓRIO II,0.003,V < 3 hm³,2.5,h < 10 m,2.5,ARAGUAÇU,TO,Dessedentação Animal,,Naturatins,"12º52'27.0""S","49º56'.0""W",Não Classificado,Não Classificado,-12.8741666667,-49.9336111111,572,-49.93361111099995,-12.87416666699994
2977,AGUA LIMPA ,0.653,V < 3 hm³,3,h < 10 m,3,ARAGUAÇU,TO,Dessedentação Animal,,Naturatins,"12º51'33.0""S","49º55'52.0""W",Não Classificado,Não Classificado,-12.8592777778,-49.9312222222,569,-49.931222221999974,-12.859277777999978
2976,ATS 15 - CÓRREGO DA PEDRA,0.008,V < 3 hm³,5.5,h < 10 m,5.5,SÃO SALVADOR DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º35'3.0""S","48º20'57.0""W",Não Classificado,Não Classificado,-12.5843888889,-48.34925,747,-48.349249999999984,-12.584388888999968
2975,ATS 14 - GROTÃO,0.005,V < 3 hm³,3.5,h < 10 m,3.5,SÃO SALVADOR DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º29'43.0""S","48º23'15.0""W",Não Classificado,Não Classificado,-12.4954166667,-48.3875555556,746,-48.38755555599994,-12.495416666999972
2973,ATS 12 - Grota Sossego,0.013000000000000001,V < 3 hm³,3.5,h < 10 m,3.5,SÃO SALVADOR DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º21'45.0""S","48º20'14.0""W",Não Classificado,Não Classificado,-12.362694444399999,-48.3374166667,743,-48.33741666699996,-12.362694443999942
2972,ALTERNATIVA V,0.449,V < 3 hm³,6.21,h < 10 m,6.21,ALMAS,TO,Aquicultura,,Naturatins,"11º14'11.0""S","47º11'20.0""W",Não Classificado,Não Classificado,-11.2365833333,-47.1890277778,912,-47.18902777799997,-11.236583332999942
2971,ALTERNATIVA IV,0.169,V < 3 hm³,4.99,h < 10 m,4.99,ALMAS,TO,Aquicultura,,Naturatins,"11º14'7.0""S","47º11'10.0""W",Não Classificado,Não Classificado,-11.2354166667,-47.1863611111,911,-47.18636111099994,-11.235416666999981
2968,Plano Alto,0.01,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º30'34.0""S","48º02'44.0""W",Não Classificado,Não Classificado,-11.5096388889,-48.0455833333,921,-48.04558333299997,-11.509638888999973
2955,GROTA DOIS IRMÃOS - ATS ,0.017,V < 3 hm³,3.5,h < 10 m,3.5,CONCEIÇÃO DO TOCANTINS,TO,Abastecimento humano,,Naturatins,"12º14'7.0""S","47º10'46.0""W",Não Classificado,Não Classificado,-12.2353611111,-47.1796944444,738,-47.17969444399995,-12.235361110999975
2954,GROTA SÃO FRANCISCO - ATS ,0.014,V < 3 hm³,3.5,h < 10 m,3.5,CONCEIÇÃO DO TOCANTINS,TO,Abastecimento humano,,Naturatins,"12º23'13.0""S","47º15'28.0""W",Não Classificado,Não Classificado,-12.3872222222,-47.2579166667,744,-47.25791666699996,-12.387222221999934
2950,GROTA SANTA LUZIA - ATS ,0.01,V < 3 hm³,3.5,h < 10 m,3.5,CONCEIÇÃO DO TOCANTINS,TO,Abastecimento humano,,Naturatins,"12º18'47.0""S","47º21'34.0""W",Não Classificado,Não Classificado,-12.313333333300001,-47.3597222222,741,-47.35972222199996,-12.313333332999946
2948,Dois Irmãos - ATS,0.01,V < 3 hm³,3.5,h < 10 m,3.5,PALMEIRÓPOLIS,TO,Dessedentação Animal,,Naturatins,"12º53'5.0""S","48º19'15.0""W",Não Classificado,Não Classificado,-12.8849166667,-48.3210277778,748,-48.32102777799997,-12.88491666699997
2944,Boa Esperança II - ATS,0.007,V < 3 hm³,3.5,h < 10 m,3.5,PALMEIRÓPOLIS,TO,Dessedentação Animal,,Naturatins,"13º05'41.0""S","48º29'1.0""W",Não Classificado,Não Classificado,-13.0948888889,-48.48375,752,-48.483749999999986,-13.094888888999947
2943,Boa Esperança I - ATS,0.008,V < 3 hm³,3.5,h < 10 m,3.5,PALMEIRÓPOLIS,TO,Dessedentação Animal,,Naturatins,"13º00'33.0""S","48º27'56.0""W",Não Classificado,Não Classificado,-13.00925,-48.4656666667,751,-48.46566666699994,-13.009249999999952
2941,POUSO ALTO II,0.01,V < 3 hm³,3.5,h < 10 m,3.5,TAIPAS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º05'40.0""S","46º58'50.0""W",Não Classificado,Não Classificado,-12.0947222222,-46.980833333300005,736,-46.980833332999964,-12.094722221999973
2967,Malhada - ATS,0.006,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º27'37.0""S","48º15'2.0""W",Não Classificado,Não Classificado,-11.460361111100001,-48.2508055556,916,-48.25080555599993,-11.46036111099994
2966,Morro de São João - ATS,0.011000000000000001,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º19'44.0""S","48º21'39.0""W",Não Classificado,Não Classificado,-11.329,-48.3611111111,914,-48.36111111099996,-11.32899999999995
2965,ALTERNATIVA I ,0.47200000000000003,V < 3 hm³,4.83,h < 10 m,4.83,ALMAS,TO,Aquicultura,,Naturatins,"11º13'24.0""S","47º10'18.0""W",Não Classificado,Não Classificado,-11.2235833333,-47.1717222222,906,-47.17172222199997,-11.223583332999965
2964,Corrego Cangas - ATS,0.008,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º17'53.0""S","47º54'4.0""W",Não Classificado,Não Classificado,-11.2983333333,-47.9012777778,913,-47.90127777799995,-11.29833333299996
2963,Terra Nova - ATS,0.006,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º22'31.0""S","47º59'57.0""W",Não Classificado,Não Classificado,-11.3755,-47.999444444400005,915,-47.99944444399995,-11.375499999999931
2960,ESTIVA,0.014,V < 3 hm³,3.5,h < 10 m,3.5,TAIPAS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º16'36.0""S","47º00'15.0""W",Não Classificado,Não Classificado,-12.276666666699999,-47.0041666667,740,-47.004166666999936,-12.276666666999972
2959,VITÓRIA,0.009000000000000001,V < 3 hm³,3.5,h < 10 m,3.5,TAIPAS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º15'33.0""S","47º04'15.0""W",Não Classificado,Não Classificado,-12.2594444444,-47.0711111111,739,-47.07111111099994,-12.25944444399994
2958,GROTA BREJO DA CHUVA - ATS ,0.014,V < 3 hm³,3.5,h < 10 m,3.5,CONCEIÇÃO DO TOCANTINS,TO,Abastecimento humano,,Naturatins,"12º21'.0""S","47º24'10.0""W",Não Classificado,Não Classificado,-12.35,-47.4027777778,742,-47.40277777799997,-12.349999999999966
2957,GROTA OLHO D'ÁGUA,0.009000000000000001,V < 3 hm³,3.5,h < 10 m,3.5,TAIPAS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º59'21.0""S","46º54'51.0""W",Não Classificado,Não Classificado,-11.9894444444,-46.914444444400004,733,-46.91444444399997,-11.989444443999957
2956,GROTA LAMEIRÃO - ATS ,0.01,V < 3 hm³,3,h < 10 m,3,CONCEIÇÃO DO TOCANTINS,TO,Abastecimento humano,,Naturatins,"12º13'9.0""S","47º29'20.0""W",Não Classificado,Não Classificado,-12.2194444444,-47.48888888890001,737,-47.48888888899995,-12.219444443999976
2926,Barragem Mario Tanabe,0.451,V < 3 hm³,11,h < 10 m,9,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º03'47.0""S","47º24'24.0""W",Não Classificado,Não Classificado,-17.063194444399997,-47.4069444444,536,-47.406944443999976,-17.063194443999976
2922,Barragem Gilmar Bedin,0.732,V < 3 hm³,12,10 m < h < 15 m,12,CRISTALINA,GO,Regularização de vazão,,SECIMA/GO,"16º37'2.0""S","47º36'40.0""W",Não Classificado,Não Classificado,-16.6173333333,-47.6112222222,522,-47.61122222199998,-16.617333332999976
2500,Barramento 2,0.093,V < 3 hm³,,10 m < h < 15 m,10.5,VISTA ALEGRE DO ALTO,SP,Regularização de vazão,,DAEE/SP,"21º11'13.0""S","48º39'11.0""W",Não Classificado,Não Classificado,-21.1872222222,-48.6530555556,102,-48.65305555599997,-21.187222221999946
2499,Barramento 1,0.271,V < 3 hm³,,h < 10 m,10,VISTA ALEGRE DO ALTO,SP,Regularização de vazão,Represa Usina Nardini,DAEE/SP,"21º11'2.0""S","48º39'32.0""W",Não Classificado,Não Classificado,-21.1838888889,-48.6588888889,103,-48.65888888899997,-21.183888888999945
2498,Balneário da Amizade,2.077,V < 3 hm³,,10 m < h < 15 m,12,PRESIDENTE PRUDENTE,SP,Recreação,Represa Balneário da Amizade,DAEE/SP,"22º06'25.0""S","51º26'45.0""W",Não Classificado,Não Classificado,-22.1072222222,-51.446111111099995,117,-51.44611111099994,-22.10722222199996
